Movie,YearOfRelease,Budget,Avengers,IronMan,CaptainAmerica,BlackWidow,NickFury,Thor,Hulk,Spiderman,BlackPanther,AntMan,GuardiansOfGalaxy,Thanos,CaptainMarvel,DrStrange,ShangChi,ScarletWitch,Eternals,DomesticGross,WeekendGross,OverseasGross,WorldwideGross,YoutubeTopViews,YoutubeTopCounts
The Avengers,2012,220,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,623357910,207438708,895455078,1518812988,,
Iron Man 2,2010,200,no,yes,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,312433331,128122480,311500000,623933331,,
Iron Man,2008,140,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,318412101,98618668,266762121,585174222,,
Thor,2011,150,no,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,no,181030624,65723338,268295994,449326618,,
Captain America: The First Avenger,2011,140,no,no,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,176654505,65058524,193915269,370569774,,
The Incredible Hulk,2008,150,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,134806913,55414050,128620638,263427551,,
Avengers: Age of Ultron,2015,365,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,no,yes,no,459005868,191271109,946397826,1405403694,,
Iron Man 3,2013,200,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,409013994,174144585,805797258,1214811252,,
Guardians of the Galaxy,2014,170,no,no,no,no,no,no,no,no,no,no,yes,yes,no,no,no,no,no,333176600,94320883,440152029,773328629,,
Captain America: The Winter Soldier,2014,177,no,no,yes,yes,yes,no,no,no,no,no,no,no,no,no,no,no,no,259766572,95023721,454497695,714264267,,
Thor: The Dark World,2013,150,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,206362140,85737841,438209262,644571402,,
Ant-Man,2015,130,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,180202163,57225526,339109802,519311965,,
Avengers: Infinity War,2018,316,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,yes,no,yes,no,yes,no,678815482,257698183,1369544272,2048359754,154.673,5
Black Panther,2018,200,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,700059566,202003951,646853595,1346913161,36.701,3
Captain America: Civil War,2016,250,no,yes,yes,yes,no,no,no,yes,yes,yes,no,no,no,no,no,yes,no,408084349,179139142,745220146,1153304495,,
Spider-Man: Homecoming,2017,175,no,yes,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,334201140,117027503,545965784,880166924,28.137,2
Guardians of the Galaxy Vol. 2,2017,200,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,389813101,146510104,473942950,863756051,,
Thor: Ragnarok,2017,180,no,no,no,no,no,yes,yes,no,no,no,no,no,no,yes,no,no,no,315058289,122744989,538918837,853977126,66.682,2
Doctor Strange,2016,236.6,no,no,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no,no,232641920,85058311,445076475,677718395,,
Ant-Man and the Wasp,2018,130,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,216648740,75812205,406025399,622674139,28.275,2
Captain Marvel,2019,152,no,no,no,no,yes,no,no,no,no,no,no,no,yes,no,no,no,no,426829839,153433423,702897549,1129727388,35.138,1
Avengers: Endgame,2019,356,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,yes,no,858373000,"357,115,007","1,939,427,564","2,797,800,564",142.031,3
Spider-Man: Far From Home,2019,160,no,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,no,"390,532,085","92,579,212","742,000,747","1,132,532,832",105.759,2
Black Widow,2021,200,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,"183,651,655","80,366,312","196,100,000","379,751,655",48.315,5
Shang-Chi and the Legend of the Ten Rings,2021,150,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,"224,543,292","75,388,688","207,700,000","432,243,292",14.96,1
Eternals,2021,200,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,"164,870,264","71,297,219","237,194,665","402,064,929",34.75,2
Spider-Man: No Way Home,2021,200,no,no,no,no,no,no,no,yes,no,no,no,no,no,yes,no,no,no,"804,617,772","260,138,569","1,083,808,579","1,888,426,351",160.428,4
Doctor Strange in the Multiverse of Madness,2021,200,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,yes,no,0,0,0,0,63.392,2